ï»¿Tarih,Sayi_1,Sayi_2,Sayi_3,Sayi_4,Sayi_5,Joker
2025-11-05,1,7,8,11,22,11
2025-11-02,2,8,22,25,29,9
2025-10-29,5,9,22,23,25,7
2025-10-26,3,17,19,26,29,8
2025-10-22,7,14,15,18,23,5
2025-10-19,4,6,7,14,29,4
2025-10-15,4,6,12,18,25,9
2025-10-12,3,12,13,14,17,12
2025-10-08,4,6,7,16,33,4
2025-10-05,4,5,11,12,18,9
2025-10-01,3,5,21,23,26,12
2025-09-28,6,10,16,21,34,9
2025-09-24,2,5,12,22,31,7
2025-09-21,4,6,8,10,31,14
2025-09-17,16,19,24,30,31,3
2025-09-14,3,5,25,28,31,4
2025-09-10,7,19,23,27,33,3
2025-09-07,2,8,17,21,31,8
2025-09-03,3,19,21,25,34,10
